,shower,dt,dxy,E,em_scintillator_array,origin,muon_detector_array
0,1,39,5452,85,778,1,2
1,2,41,9363,48,467,1,1
2,3,38,7769,48,657,1,0
3,4,26,5613,43,483,1,1
4,5,29,6916,95,920,1,3
5,6,33,5637,418,940,1,6
6,7,100,5874,240,1844,1,13
7,8,61,6175,362,2745,1,22
8,9,30,6191,36,374,1,1
9,10,40,8664,28,334,1,2
10,11,32,5400,89,988,1,2
11,12,34,7889,50,400,1,3
12,13,40,6623,39,462,1,0
13,14,36,7463,50,542,1,0
14,15,56,5961,45,427,1,1
15,16,35,6683,63,676,1,0
16,17,39,6819,114,419,1,4
17,18,86,6555,137,1164,1,6
18,19,55,4301,104,1136,1,1
19,20,33,6329,138,1111,1,6
20,21,63,8001,42,364,1,2
21,22,54,7347,76,716,1,3
22,23,40,6912,140,1180,1,5
23,24,31,4950,58,534,1,0
24,25,32,5826,41,340,1,1
25,26,38,8125,28,317,1,0
26,27,36,6116,81,720,1,2
27,28,64,7780,28,363,1,1
28,29,47,11122,31,364,1,0
29,30,68,11725,1034,254,1,29
30,31,74,5398,48,455,1,2
31,32,113,8352,49,540,1,2
32,33,36,7219,37,361,1,1
33,34,51,7046,273,2689,1,9
34,35,38,7554,40,425,1,0
35,36,42,6704,70,723,1,2
36,37,37,6183,77,572,1,3
37,38,39,6944,54,593,1,1
38,39,40,5371,165,1632,1,7
39,40,238,10064,31,358,1,1
40,41,29,7304,55,548,1,2
41,42,35,6066,105,852,1,2
42,43,66,9354,49,438,1,2
43,44,36,6953,45,412,1,2
44,45,79,9235,493,533,1,39
45,46,45,7699,49,456,1,2
46,47,28,3591,93,1023,1,0
47,48,35,7342,51,489,1,2
48,49,38,7450,155,1259,1,4
49,50,42,7391,62,480,1,3
50,51,41,5078,85,803,1,1
51,52,36,8551,25,318,1,0
52,53,36,6733,71,689,1,2
53,54,36,8732,30,333,1,0
54,55,27,4589,50,538,1,1
55,56,40,8356,44,595,1,1
56,57,44,8530,45,481,1,1
57,58,29,6524,53,696,1,0
58,59,50,8361,338,713,1,26
59,60,42,6553,71,705,1,1
60,61,39,7855,36,362,1,0
61,62,75,4392,141,1444,1,6
62,63,29,5135,46,439,1,0
63,64,34,7047,55,596,1,2
64,65,36,6749,44,532,1,0
65,66,45,6387,51,489,1,3
66,67,47,5703,303,2882,1,7
67,68,35,7476,34,446,1,0
68,69,34,6824,42,428,1,1
69,70,39,8457,49,445,1,2
70,71,34,4063,329,3046,1,12
71,72,39,5895,152,1529,1,6
72,73,34,4513,50,532,1,0
73,74,43,5567,56,540,1,1
74,75,36,6958,74,694,1,1
75,76,73,5663,52,460,1,1
76,77,33,4276,83,880,1,1
77,78,27,4450,36,360,1,1
78,79,43,7755,188,899,1,10
79,80,43,10883,25,329,1,1
80,81,33,6064,107,1146,1,0
81,82,147,9016,1087,303,1,29
82,83,33,6787,62,524,1,2
83,84,31,7282,50,406,1,0
84,85,65,9483,98,423,1,4
85,86,39,6935,57,624,1,1
86,87,33,6202,90,515,1,2
87,88,55,5831,114,1033,1,3
88,89,31,8496,60,654,1,3
89,90,47,7743,47,542,1,0
90,91,53,9768,33,336,1,1
91,92,31,4047,66,563,1,1
92,93,43,8419,64,685,1,1
93,94,38,6187,50,541,1,1
94,95,35,6099,322,2553,1,15
95,96,34,8234,74,714,1,1
96,97,33,7198,33,428,1,0
97,98,27,5953,85,385,1,3
98,99,37,6047,32,397,1,1
99,100,32,5387,76,763,1,0
100,101,32,6208,47,396,1,1
101,102,33,7116,34,380,1,2
102,103,31,4969,151,1286,1,5
103,104,35,8759,135,522,1,7
104,105,37,7456,36,438,1,0
105,106,41,6391,60,662,1,2
106,107,33,7063,33,390,1,1
107,108,32,3556,47,332,1,1
108,109,34,7095,47,545,1,2
109,110,49,6394,74,677,1,1
110,111,56,6591,138,1365,1,6
111,112,43,6594,39,497,1,0
112,113,37,5888,49,466,1,1
113,114,36,6342,51,565,1,0
114,115,47,6386,217,2212,1,4
115,116,37,5126,52,440,1,1
116,117,32,6575,46,453,1,0
117,118,40,7613,38,439,1,0
118,119,39,4232,66,426,1,1
119,120,41,6539,368,532,1,4
120,121,33,5698,41,522,1,1
121,122,38,8223,29,348,1,0
122,123,34,6039,106,1189,1,1
123,124,25,3237,89,373,1,3
124,125,27,4318,75,825,1,3
125,126,65,9303,491,405,1,32
126,127,37,6312,49,460,1,1
127,128,34,6243,43,359,1,1
128,129,36,7692,66,676,1,2
129,130,52,6338,125,1200,1,4
130,131,42,9371,22,345,1,0
131,132,57,8124,44,516,1,1
132,133,32,6023,50,557,1,0
133,134,30,4766,53,580,1,1
134,135,39,8024,74,634,1,3
135,136,56,9067,40,457,1,0
136,137,76,6764,57,463,1,5
137,138,52,7338,67,800,1,1
138,139,42,6940,41,518,1,0
139,140,50,8428,133,1230,1,5
140,141,38,8981,49,598,1,3
141,142,31,5600,49,517,1,2
142,143,35,6424,54,630,1,1
143,144,29,6455,43,488,1,1
144,145,39,6779,109,1039,1,1
145,146,46,7664,39,487,1,0
146,147,27,6461,41,482,1,0
147,148,39,7523,50,446,1,1
148,149,36,6733,218,1771,1,9
149,150,45,8551,63,443,1,1
150,151,39,7567,175,1065,1,6
151,152,39,8045,59,594,1,3
152,153,34,6193,46,492,1,2
153,154,25,3636,84,718,1,2
154,155,56,8404,101,1042,1,3
155,156,28,4020,96,507,1,6
156,157,37,5621,33,347,1,1
157,158,30,8055,39,348,1,2
158,159,49,6916,49,546,1,0
159,160,25,3174,70,566,1,3
160,161,43,6111,92,695,1,4
161,162,34,4827,48,496,1,2
162,163,60,8032,37,354,1,1
163,164,30,5257,56,442,1,4
164,165,50,7465,38,405,1,0
165,166,40,8454,86,856,1,1
166,167,38,6801,43,438,1,1
167,168,35,6614,86,463,1,2
168,169,38,7476,47,534,1,1
169,170,46,7084,72,869,1,1
170,171,37,7159,163,1793,1,3
171,172,64,4854,76,839,1,2
172,173,35,5812,30,344,1,0
173,174,45,7054,143,1454,1,4
174,175,44,6621,95,885,1,3
175,176,35,9404,31,359,1,1
176,177,36,8219,55,466,1,2
177,178,44,6558,142,1646,1,3
178,179,44,7036,67,667,1,2
179,180,43,7067,71,766,1,1
180,181,74,8438,104,797,1,5
181,182,32,5637,41,413,1,1
182,183,42,8822,66,689,1,1
183,184,34,6598,49,595,1,1
184,185,48,6752,56,728,1,0
185,186,32,6515,61,518,1,4
186,187,31,5136,90,1027,1,0
187,188,170,6948,63,605,1,4
188,189,38,6275,55,597,1,0
189,190,34,6188,43,482,1,0
190,191,31,7490,53,584,1,1
191,192,28,5454,47,489,1,0
192,193,31,7072,43,406,1,2
193,194,30,6327,47,488,1,2
194,195,42,6021,164,1538,1,5
195,196,38,3646,57,539,1,0
196,197,53,7687,155,1524,1,4
197,198,46,5697,50,492,1,0
198,199,48,6784,43,451,1,2
199,200,59,6946,955,979,1,97
200,201,31,7696,57,556,1,3
201,202,38,8549,47,503,1,0
202,203,41,7332,100,846,1,2
203,204,41,7685,23,315,1,0
204,205,138,12595,666,148,1,61
205,206,147,9458,162,488,1,19
206,207,36,8368,29,385,1,0
207,208,166,10017,45,388,1,5
208,209,34,7096,54,562,1,1
209,210,33,7845,108,866,1,6
210,211,50,6136,62,594,1,1
211,212,36,6375,129,1320,1,4
212,213,44,6058,34,326,1,0
213,214,42,9715,40,395,1,1
214,215,49,7915,39,422,1,2
215,216,53,8607,27,359,1,1
216,217,87,4396,97,541,1,2
217,218,53,8675,78,544,1,2
218,219,31,6346,44,487,1,2
219,220,45,6189,123,1121,1,3
220,221,47,9305,61,637,1,3
221,222,47,5904,144,1267,1,2
222,223,31,6564,42,426,1,2
223,224,35,5038,40,394,1,2
224,225,43,7057,251,2469,1,8
225,226,36,7686,56,512,1,2
226,227,51,6464,201,1896,1,7
227,228,28,3804,88,764,1,3
228,229,49,8318,67,785,1,2
229,230,36,6285,56,607,1,1
230,231,48,9028,78,864,1,3
231,232,42,3821,88,760,1,5
232,233,44,6771,130,1068,1,6
233,234,42,6524,110,1235,1,1
234,235,33,4442,90,911,1,1
235,236,31,6728,53,550,1,2
236,237,51,6725,202,2097,1,7
237,238,36,4444,1395,1544,1,5
238,239,39,5958,39,443,1,2
239,240,28,6190,42,475,1,0
240,241,35,5014,94,526,1,4
241,242,43,9094,27,330,1,0
242,243,27,5422,42,397,1,0
243,244,33,7306,84,636,1,1
244,245,45,5774,42,487,1,0
245,246,35,5429,82,584,1,5
246,247,36,6445,170,1201,1,6
247,248,43,6867,97,985,1,2
248,249,43,7813,253,2549,1,5
249,250,39,8468,47,547,1,0
250,251,44,7474,42,377,1,0
251,252,34,4287,94,790,1,2
252,253,64,5429,43,457,1,2
253,254,41,7405,117,1087,1,3
254,255,36,5761,48,498,1,0
255,256,40,7146,51,540,1,3
256,257,35,7533,52,642,1,0
257,258,43,6982,56,587,1,4
258,259,37,6848,78,706,1,3
259,260,46,6598,44,491,1,1
260,261,46,5757,136,1517,1,3
261,262,42,5703,64,596,1,3
262,263,89,6998,69,648,1,2
263,264,37,9488,30,342,1,1
264,265,29,4259,69,720,1,1
265,266,44,6527,42,469,1,0
266,267,40,8871,47,547,1,0
267,268,36,6652,79,928,1,0
268,269,43,9200,30,374,1,0
269,270,28,6191,21,297,1,1
270,271,37,5629,167,1664,1,7
271,272,46,6886,326,2657,1,6
272,273,66,4340,138,1279,1,3
273,274,49,8639,66,688,1,3
274,275,37,5946,342,3464,1,7
275,276,44,5583,287,2967,1,5
276,277,31,4268,69,750,1,0
277,278,35,4883,239,2448,1,3
278,279,27,5629,74,411,1,1
279,280,55,8986,340,953,1,10
280,281,97,6313,158,1512,1,3
281,282,35,8352,52,544,1,1
282,283,37,10013,192,338,1,5
283,284,87,7150,123,422,1,13
284,285,32,6961,44,441,1,1
285,286,28,5156,42,420,1,2
286,287,29,3732,36,392,1,0
287,288,33,4776,102,986,1,0
288,289,44,8826,41,457,1,0
289,290,38,5547,147,1400,1,4
290,291,169,7102,33,384,1,2
291,292,47,6795,97,1145,1,0
292,293,41,9237,32,352,1,0
293,294,46,7974,62,578,1,0
294,295,32,7825,37,441,1,0
295,296,42,7244,32,392,1,0
296,297,38,6993,30,364,1,1
297,298,30,7513,72,486,1,3
298,299,33,8854,28,386,1,0
299,300,174,6899,78,853,1,2
300,301,36,5990,102,1021,1,0
301,302,37,6789,48,608,1,0
302,303,32,8319,41,468,1,2
303,304,38,7827,37,407,1,1
304,305,43,8298,43,483,1,1
305,306,39,6300,103,779,1,5
306,307,51,6662,51,523,1,0
307,308,44,7818,41,546,1,0
308,309,34,5648,46,457,1,2
309,310,53,5891,112,1041,1,6
310,311,35,7564,105,1282,1,0
311,312,43,7283,84,842,1,2
312,313,60,8392,36,387,1,2
313,314,38,8003,43,583,1,0
314,315,46,9581,58,526,1,1
315,316,82,6434,44,436,1,1
316,317,31,7237,34,409,1,0
317,318,32,7973,33,330,1,1
318,319,32,9986,92,338,1,3
319,320,48,7159,46,523,1,2
320,321,41,6968,55,611,1,1
321,322,37,6536,88,872,1,3
322,323,35,7908,116,1015,1,3
323,324,45,10674,37,406,1,0
324,325,40,6584,106,899,1,2
325,326,45,5054,89,972,1,1
326,327,42,7226,111,987,1,5
327,328,38,8231,183,1263,1,10
328,329,36,8371,27,322,1,0
329,330,34,5383,128,1455,1,2
330,331,31,2409,15,122,1,1
331,332,39,8743,96,517,1,2
332,333,38,6955,90,882,1,2
333,334,41,8825,44,401,1,1
334,335,37,6127,164,1531,1,5
335,336,32,5371,58,597,1,1
336,337,36,6926,120,1059,1,6
337,338,40,7797,71,740,1,2
338,339,61,8618,29,396,1,1
339,340,33,4418,58,486,1,1
340,341,39,6379,72,698,1,3
341,342,40,8750,105,923,1,4
342,343,31,6443,48,510,1,1
343,344,45,7069,57,592,1,0
344,345,36,4661,162,1294,1,6
345,346,33,8305,30,295,1,1
346,347,52,3055,23,132,1,3
347,348,36,6422,201,1749,1,9
348,349,43,9102,39,470,1,0
349,350,41,8947,32,421,1,1
